id,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,calculated_host_listings_count
4012832,10,1,1,4,3503,6,250,2,99,20,48,78,78,118,25
4014018,3,1,1,1,1889,1,200,2,30,21,51,81,354,90,3
4014179,2,1,1,1,3808,1,0,6,1125,0,0,2,58,5,7
4017322,2,1,1,1,3686,1,500,4,90,30,60,90,365,0,1
4018116,2,1,1,1,1675,1,200,2,30,13,33,63,336,94,3
4021028,8,1.5,1,8,487,1,500,1,1125,28,56,86,356,33,5
4028623,2,1,0,1,3990,1,0,1,1125,9,30,52,140,141,5
4035563,3,1,1,2,792,1,0,2,1125,11,24,46,314,168,1
4043384,6,1,1,3,1586,4,600,2,1125,12,33,56,85,175,20
4054999,3,1,1,1,1797,2,200,2,30,24,54,84,357,51,3
4057716,2,1,1,1,945,2,300,2,1125,0,0,0,0,12,6
4070366,2,1,1,2,609,1,213,2,1125,0,0,4,277,27,13
4077260,2,1,1,1,1189,2,500,1,30,10,32,56,322,67,3
4086118,6,1,1,2,2406,2,400,2,1125,0,0,0,270,39,37
4089121,6,1,1,3,1982,2,500,2,90,27,57,80,349,27,14
4091477,2,1,0,1,3990,1,0,1,1125,11,32,57,145,104,5
4093951,1,1,1,1,579,1,250,4,1125,0,0,0,213,22,13
4103084,2,2,1,2,640,1,250,28,1125,0,0,28,303,31,4
4103186,2,2,1,2,1005,1,200,1,1125,0,0,28,116,51,4
4103350,6,1,1,3,1982,3,800,2,90,27,57,80,349,11,14
4106145,2,1,1,1,1523,1,0,7,300,25,55,85,360,14,9
4106248,2,1,1,1,1523,1,0,7,1125,25,55,85,359,13,9
4106431,2,1,1,1,1523,1,0,7,1125,25,55,85,360,8,9
4118004,5,1,2,2,9809,2,1000,4,90,30,60,90,180,0,1
4121683,1,1,1,1,640,1,152,2,90,26,56,81,349,51,11
4122190,7,1,2,4,3202,4,800,2,1125,25,55,85,172,14,14
4123339,2,1,1,1,1586,2,0,1,1125,3,20,43,128,269,9
4141214,2,1,1,1,3594,1,0,1,1125,11,34,52,143,150,5
4141309,2,1,1,1,3808,1,0,1,1125,7,23,40,128,118,5
4146789,2,1,1,1,1523,2,350,1,180,25,55,85,144,64,4
4148702,4,1,0,1,1586,2,300,1,1125,15,45,68,339,17,5
4154200,3,1,1,2,1036,1,300,2,1125,0,28,30,30,41,3
4158999,6,1,2,3,3172,4,400,2,300,7,27,48,302,179,18
4160413,4,1,1,2,2806,5,500,1,1125,9,19,23,190,3,4
4161993,3,1,1,2,944,1,300,2,45,3,20,48,123,330,1
4188769,2,2,1,1,1005,1,250,1,1125,0,0,0,162,13,4
4203000,2,1,1,1,1310,1,200,1,1125,0,4,34,306,2,5
4207280,6,2,2,3,5605,6,300,1,1125,1,26,52,326,124,1
4208089,4,1,1,1,1310,1,250,1,1125,0,0,25,298,57,5
4241462,2,1,1,1,762,1,200,3,300,30,60,81,353,1,8
4251771,8,2,4,4,6862,6,762,14,1125,0,0,0,0,19,1
4255688,4,1,1,3,944,3,183,1,90,11,36,53,133,82,11
4261027,2,1,1,1,1464,1,0,1,365,0,0,0,0,5,11
4265073,6,1,1,3,2592,4,300,2,1125,4,27,49,309,190,13
4266942,2,1,1,1,1005,1,200,2,200,0,0,0,213,45,4
4267155,3,1,1,1,1036,1,200,2,200,27,57,87,360,81,4
4273887,6,1,3,3,3077,1,250,2,1125,14,35,64,70,118,2
4279943,3,1,1,1,914,1,200,2,100,0,0,0,255,71,4
4280507,2,1,1,2,1036,1,500,1,1125,27,57,87,362,4,1
4284679,4,1,1,2,1067,2,200,2,1125,20,50,80,80,74,6
4284693,4,1,1,2,1372,2,300,2,1125,9,36,62,332,134,6
4297672,12,0,1,8,487,1,594,1,31,16,45,75,288,133,5
4297897,2,1,1,1,1614,1,300,1,1125,0,0,0,0,0,11
4298122,2,0,1,4,823,2,810,1,31,22,51,81,82,54,5
4301591,2,1,1,1,1493,1,500,2,1125,30,60,90,365,0,1
4306670,3,1,1,1,2193,2,500,20,1125,30,60,90,365,3,2
4308479,4,1,1,2,2287,1,0,2,1125,0,0,0,0,0,11
4314423,8,2,3,3,2802,2,250,2,1125,0,0,10,10,79,2
4317397,4,1,1,2,3198,1,0,7,1125,0,0,26,112,5,7
4318191,2,1,1,1,3198,1,0,29,1125,0,28,58,148,1,7
4318355,2,1,1,1,1523,2,0,1,31,24,54,84,84,21,5
4322177,1,1,1,1,1310,1,300,1,1125,30,60,90,365,26,6
4336624,2,1,1,2,1371,2,305,2,1125,10,28,58,140,107,16
4352126,1,1,0,1,1799,1,0,2,14,0,0,0,0,4,2
4369841,6,1,2,2,2074,2,305,1,1125,0,0,0,0,96,1
4372207,2,1,1,1,1493,2,300,1,180,25,55,85,147,68,4
4372441,8,2,4,4,3990,1,0,28,1125,30,60,90,180,84,3
4382196,5,1,1,3,2406,2,500,1,14,7,16,39,209,392,1
4383437,2,2,1,1,1158,1,518,2,1125,15,44,74,346,97,1
4387437,2,1,1,1,1279,1,0,5,90,0,13,43,60,17,14
4392578,1,.5,1,1,701,1,500,2,180,28,58,88,89,54,9
4396132,2,1,1,1,2010,2,500,2,1125,11,22,46,310,163,1
4396375,2,1,0,1,1584,1,0,4,1125,11,23,53,324,76,4
4396704,4,1,1,2,2589,2,300,20,1125,30,60,90,365,6,2
4400119,2,1,1,1,1372,1,0,1,28,0,0,0,0,179,5
4401076,4,1,1,2,1891,2,200,3,1125,29,59,89,364,4,5
4404783,2,1,1,1,1736,1,400,1,90,30,60,88,358,1,1
4408487,7,1,1,4,1586,4,600,2,40,7,27,49,56,201,20
4412881,1,1,1,1,304997,1,0,30,30,0,0,0,0,8,3
4418916,16,4,1,16,8986,15,499,2,180,30,60,90,350,7,43
4426297,4,1,2,3,1797,3,500,3,30,13,37,61,332,93,1
4431968,2,3,1,1,701,1,200,1,180,25,55,85,360,168,12
4432343,2,1,1,1,1189,1,250,2,20,0,0,0,0,101,1
4436097,2,1,1,1,854,1,0,2,180,30,60,86,87,43,9
4436251,1,1,1,1,762,1,500,2,180,25,55,85,85,41,9
4440878,2,1,1,1,1218,2,1000,1,180,0,0,9,279,12,8
4457618,2,1,1,1,854,2,500,2,180,30,60,90,91,26,9
4457774,2,1,1,2,853,2,500,2,180,30,58,88,88,12,9
4458308,4,1,1,2,1919,2,609,1,1125,9,18,40,312,163,3
4460700,2,1,1,1,1311,1,0,1,1125,0,0,0,0,1,11
4461007,3,1,1,2,1066,1,305,2,1125,29,59,89,89,58,1
4462098,2,1,1,1,1494,1,0,1,1125,22,51,81,351,83,3
4464925,2,1,0,1,1677,2,500,2,365,6,25,46,309,215,5
4466335,2,1,0,1,3625,1,0,10,180,25,55,73,348,6,1
4467294,10,3,1,10,579,1,580,1,1125,30,60,90,365,6,2
4468613,2,1,1,2,975,1,950,2,15,28,58,88,88,4,1
4469137,2,1,1,1,1281,1,500,1,1125,22,51,81,351,19,3
4469163,2,1,1,1,1281,1,500,1,1125,0,26,56,326,9,3
4471685,2,1,1,1,2406,1,0,2,1125,24,54,72,318,34,1
4473217,6,3,1,6,579,1,580,1,1125,30,60,90,365,0,2
4473521,2,1,1,1,2897,1,0,1,1125,8,9,9,66,339,9
4478330,16,3,2,12,2985,5,490,2,180,27,57,87,359,55,43
4481050,6,1,2,3,3599,4,500,1,60,0,0,0,0,26,3
4487362,6,1,1,3,1645,2,400,1,28,12,42,61,82,235,5
4487960,4,1,1,2,1250,2,400,1,28,0,0,0,0,195,5
4488220,6,2,1,3,1616,2,400,1,28,0,0,0,0,160,5
4495681,2,1,1,1,1523,1,0,7,1125,25,55,85,359,9,9
4495844,2,1,1,1,1523,1,0,7,1125,25,55,85,360,19,9
4505516,6,1,2,4,2254,2,609,1,365,2,10,25,285,200,3
4507539,16,2,3,16,5422,11,399,2,180,30,60,89,360,9,43
4507773,2,1,1,1,1523,1,0,14,300,25,55,85,360,6,9
4514143,2,0,1,1,548,1,200,3,1125,30,60,90,365,14,13
4515481,6,1,1,3,2257,4,400,2,1125,22,52,82,83,103,4
4515832,5,4,1,5,2498,5,499,1,180,30,60,90,365,15,43
4520900,6,1.5,2,4,1950,2,315,1,35,24,48,73,345,25,1
4528256,4,1,1,2,2802,4,500,1,1125,30,58,82,168,1,8
4535577,1,.5,1,1,518,1,0,2,1125,29,59,89,364,4,2
4541617,2,1,1,1,1614,1,400,3,1125,1,29,59,59,2,19
4541737,6,1,1,3,1675,2,300,1,28,0,0,0,0,127,5
4544769,3,1,1,2,1769,1,0,1,1125,0,0,0,0,3,11
4550184,2,1,1,1,1675,1,0,1,1125,30,60,90,365,14,14
4550790,2,1,1,1,1675,1,0,1,1125,30,60,90,365,32,14
4550925,5,1,2,1,1797,2,180,25,1125,0,10,39,310,13,1
4551517,3,1,1,2,1675,1,0,1,1125,16,46,76,348,60,14
4560377,1,1,1,1,1005,1,500,1,180,30,60,84,169,5,8
4561084,2,1,1,1,1523,1,0,7,90,25,55,85,360,4,9
4568351,12,1,1,12,549,1,560,1,1125,29,59,82,352,24,6
4568861,2,1,1,1,1769,2,183,1,90,14,27,43,122,227,3
4585462,3,1,1,3,1462,1,0,2,15,29,59,89,89,13,8
4589131,4,1,2,2,2010,2,600,365,365,30,60,90,365,1,1
4589381,4,1,2,2,2346,2,389,1,1125,0,0,0,137,99,5
4589620,8,4,1,8,1982,4,499,1,365,30,60,90,365,7,43
4598060,2,1,1,1,854,2,0,2,180,30,60,90,91,42,9
4601710,6,1,1,3,2501,4,350,2,1125,7,32,54,301,209,13
4607827,2,1,1,2,304997,1,915,30,30,0,0,0,0,4,3
4618264,2,2,1,2,1493,1,0,30,30,23,53,83,83,3,8
4619285,3,0,1,3,1797,1,0,2,60,27,57,87,87,7,8
4619385,2,2,1,2,1310,1,0,2,30,25,55,85,85,4,8
4620046,2,2,1,2,1097,1,0,2,60,19,49,79,79,3,8
4620102,2,2,1,2,1401,1,0,1,30,22,52,82,82,1,8
4624658,2,1,1,1,640,1,213,1,1125,0,29,59,330,52,2
4630004,2,1,1,1,1523,1,0,7,180,25,55,85,360,19,9
4632701,2,1,1,1,1523,2,0,1,1125,30,60,90,364,33,3
4632805,4,1,1,2,1980,2,457,1,1125,30,60,90,364,10,3
4635027,5,1,1,3,2467,4,300,2,1125,3,3,3,86,179,6
4635197,4,1,1,3,1950,2,457,2,1125,10,38,68,341,146,16
4642590,2,1,1,1,1311,1,0,2,1000,18,36,66,239,89,3
4649036,2,1,1,1,1371,1,500,30,1125,30,60,90,365,6,2
4650506,4,1,1,3,1493,2,400,2,1000,17,38,61,238,96,3
4653851,7,2,3,4,2010,2,700,2,10,23,49,79,351,153,2
4664301,8,2,3,4,1462,2,300,6,365,0,0,0,91,1,1
4665986,1,1,1,1,975,1,0,30,1125,30,60,87,354,3,2
4669575,7,1,1,4,2501,4,400,2,1000,27,52,80,165,40,3
4672439,10,1,3,6,2285,6,396,1,35,11,29,49,279,135,14
4676782,4,1,0,2,1037,2,244,2,1125,6,31,52,314,138,8
4684516,3,1,0,1,2376,2,609,3,100,20,50,79,165,40,1
4695973,16,8,1,1,610,1,620,1,13,29,57,87,354,19,13
4696118,16,8,1,3,610,1,620,1,1125,27,56,86,349,29,13
4696140,16,8,1,4,609,1,620,1,13,27,57,86,348,13,13
4696190,16,8,1,5,609,1,620,1,13,30,60,89,359,67,13
4696228,16,8,1,16,609,1,620,1,13,27,57,86,355,4,13
4696265,16,8,1,14,609,1,620,1,13,30,57,86,355,26,13
4696339,16,8,1,8,610,1,620,1,99,29,59,89,361,25,13
4696366,16,8,1,16,609,1,620,1,13,27,57,86,355,3,13
4702288,2,1,1,1,3198,1,0,29,1125,0,0,28,88,3,7
4702374,2,1,1,1,1523,1,0,7,300,25,55,85,359,12,9
4721241,4,1,1,2,1493,2,500,1,1125,30,60,90,365,33,12
4721834,2,1,1,1,1310,1,0,1,1125,28,58,88,363,60,12
4721881,3,1,1,1,1340,2,0,2,60,7,18,46,313,57,1
4738149,2,1,1,1,304613,1,1066,30,31,30,60,90,365,0,3
4747655,6,1,1,3,2501,4,350,2,1125,4,4,4,80,117,6
4749034,6,1,2,2,2315,1,400,3,1125,30,60,90,90,19,19
4753466,2,1,1,2,1493,2,300,2,1125,27,57,87,358,22,1
4777225,8,3,3,4,1097,2,400,1,1125,30,60,85,356,111,3
4779578,1,1,1,1,487,1,500,1,1125,29,59,83,168,23,8
4786637,2,1,1,1,1675,1,609,2,1125,30,60,90,365,13,5
4796031,2,1,2,1,1188,1,0,1,6,30,60,90,365,4,9
4798136,4,3,1,4,366,1,425,1,1125,1,1,1,88,55,18
4799264,2,1,1,1,1614,4,0,2,1125,6,36,66,74,36,6
4810813,4,1,1,1,1464,2,400,2,1125,7,25,38,151,310,1
4834204,6,1,1,3,3503,6,0,1,1125,27,57,80,350,2,8
4841302,16,8,1,16,487,1,490,1,1125,28,58,88,330,96,14
